GeneID	Dendritic_cells_H	Fibroblasts_H	ILC_NK_cells_H	Keratinocytes_H	Langerhans_cell_H	Lymphatic_endothelium_H	Macrophages_H	Mast_cells_H	Melanocytes_H	Pericytes_H	Plasma_cells_H	Schwann_cells_H	T_cells_H	Vascular_endothelium_H	Dendritic_cells_LS	Fibroblasts_LS	ILC_NK_cells_LS	Keratinocytes_LS	Langerhans_cell_LS	Lymphatic_endothelium_LS	Macrophages_LS	Mast_cells_LS	Melanocytes_LS	Pericytes_LS	Schwann_cells_LS	T_cells_LS	Vascular_endothelium_LS	Melanocytes_DP	Dendritic_cells_DP	Vascular_endothelium_DP	Pericytes_DP	Fibroblasts_DP	Macrophages_DP	Langerhans_cell_DP	Schwann_cells_DP	Keratinocytes_DP	ILC_NK_cells_DP	Mast_cells_DP	T_cells_DP	Lymphatic_endothelium_DP		SUM L + DP		Novel
PEX13	1.68E-11	1	0	1	0.943797431	0.069157866	0	1.35E-07	0	0	0.00323384	0.000373164	0	0.344704233	4.75E-10	1.07E-05	0.003455507	1	0.586476081	0.008727939	1.73E-11	0.002039261	0.06303933	0	0.004713813	0	3.02E-11	0.515729314	0.000688572	1.56E-13	0.007352741	9.88E-16	0.248353589	0.143994683	0.025749148	1	0.146689203	0.039669007	0.008952266	0.006225135		2.00	6.971597376	0
WNK1	1	0	0	0.004405581	0.531055852	0.000114965	0.075517384	0	0	0	3.73E-05	8.70E-06	0.46535413	1	0.000251413	0	2.97E-06	1	0	0.458936798	0.003033731	2.89E-05	0.025283641	0	0.000658087	0.022202388	1	0.26350317	0	2.01E-13	6.94E-09	0.000000045	4.68E-14	0	0.008012992	1	0.006725573	0.049391817	0	0.196421537		2.00	6.858408023	Y
DXO	0	0.116522706	0.001289734	6.07E-06	9.20E-09	0.159023505	7.06E-15	0.00281423	0.009989232	1	0.032788865	0.020959726	8.72E-13	1	0.000148312	0.735765153	0.023039184	1	0.001295036	0.119917947	1.08E-06	0.009046289	0.416595803	0.01844595	0.053456157	0	0.160356725	0.38378527	0.108852642	0	5.42E-09	0.236063656	0.023390171	0.035013696	0.060569732	1	0.040236684	0.024779366	0.00466884	0.054916269		2.00	6.729136884	0
IL7R	1	0	1	0	0.246413366	0	1	4.80E-14	0	0	0.000789616	0	1	0	0.09445316	0	1	0	0	0	1.47E-09	8.37E-05	0	0	2.64E-06	1	0	0.040158261	0	0.109098547	0.037628749	0.00882462	0	0	0.037628749	0.026573709	0.0000511	0.03129849	0	0.037825482		0.03	6.601655161	0
PBX2	1	0.011488431	1.46E-09	0.010789709	0.067765042	5.48E-08	1	0.000111904	1.01E-12	0.025969618	0.010561894	0.018989005	0	0.645017817	1	0.212345518	0.001836728	0.86803321	0.000997632	0.016710453	1	0.029056433	0.034221445	0.003018608	0.013636667	0	0.027498228	0.191903118	0.030036352	0.0000265	0.001854077	0.04705148	0.006199319	0.0000557	0.017530388	0.251426252	0.0152747	0.075682641	6.19E-08	0.07304527		1.12	6.544131584	0
NAB1	0	1	0	1	0	2.83E-08	1.20E-10	2.02E-08	0	1	0.003139508	0.398089503	0	0	5.91E-12	1	2.99E-05	1	4.73E-13	0.000913331	1.83E-05	0.002537705	0.001039666	0.71128529	0.013528753	0	1.65E-05	0.173109602	0.005977762	0.15526287	0.003732267	0.013972492	0.004346404	0.002312887	0.001331159	0	0.037360387	0.043833059	0.362880684	0.014509831		1.00	6.490643895	Y
IL1RL1	2.03E-06	1	0.023671867	0.000397987	8.33E-08	7.84E-05	3.05E-06	1	0.000550559	1	0.031369839	0.061571024	9.98E-10	0	0	0.648157727	0.247644247	0.031225066	2.82E-05	0.001866062	0.000114331	1	0.003257648	0.273640942	0.027768056	0.386630355	2.74E-06	0.035886121	0.027723193	0.089487868	0.012748003	0	0.08122353	0.03587476	0.027756073	0.37782169	0.330833116	0.026213666	1	0.039340867		0.41	6.426501427	0
EHMT2	8.19E-05	0.000165468	0.704721954	0.006353508	0	0.003114369	6.42E-05	0.032216855	0.13118336	0.000189036	0.038963687	0.020272195	1	0.449695234	0.002468665	0.624391781	0.027736549	1	3.32E-05	0.037451601	0	0.018285507	0.191057754	0.001373151	0.014973389	0.00015673	0.013327137	0.114992721	0.042870145	0.001246146	0.057874581	0.758875704	0.000412187	0.046214323	0.022098776	1	0.004379437	0.021445994	1.94E-11	0.069976858		2.00	6.362861866	0
CTSF	0	1	1.17E-08	0	0	1.37E-05	0	0.0007993	1	1	0.014021322	0.028778441	0	0	0	1	4.17E-05	0	1.59E-10	0.120925593	0	0.009397207	1	0.456758634	0.02607093	0	0.000152962	7.74E-09	0.042902435	0.485840494	0.00000924	0.010745768	0.02830583	0.086312106	0.038226339	0.010433955	0.009846302	0.045216972	0.000165084	0.398508118		0.01	6.359736007	Y
RAPGEF6	0.759703582	1	0.196476563	0	0.615500507	9.58E-10	7.64E-05	0.000469993	4.12E-06	0.017167013	0.008714879	0.001740033	1	1.58E-08	0.168225768	0.106944398	0.232750548	7.79E-06	0.002023376	0.001704975	0.417141098	0.027035971	0.009041965	0	0.018124183	1	2.28E-06	0.058215514	0.005739817	0.002275454	0.00000826	7.57E-11	0.567389637	0.0000136	0.047867372	0.083097146	0.142473354	0.070388013	0.011534287	0.047774259		0.08	6.347462232	0
ZGPAT	1	0.07920498	3.99E-07	0	1	0.363561533	0.009436126	0.000152809	5.95E-05	0.04722046	0.029242755	0.005266069	0.004052098	1	0.011432763	0.028820614	0.002881633	1	0.019023661	0.150893802	0.001353648	0.005687016	0.116264641	0.000213285	0.014735091	0	0.212800583	0.189100305	0	0.000000206	0.000258145	0.001993677	0.001286054	0.000000821	0.029487025	1	0.016143296	0.02782047	0.00000175	0.033678374		2.00	6.32442966	0
SHE	5.34E-09	0.210256074	4.82E-05	0	1.46E-06	1	0.936983126	0.014361915	0.000292271	8.08E-05	0.023958149	0.017189831	0	1	0.000273943	0.359823617	0.012820528	2.40E-06	0.002931869	1	0.002545761	0.024997808	0.016610603	0.000959816	0.027811182	0	1	0.04474937	0.032486347	0.33940793	0.037022391	0.04924913	0.000000289	0.026308675	0.035807301	0.039310536	0.031998977	0.033012664	0.034875531	0.232012615		0.04	6.256291298	0
TNFSF4	1	0.561007554	1	0	0.058567935	0.003220259	0.001020957	0.054902382	0.005096047	0.003642584	0.029909202	0.027136604	0.050332629	3.56E-06	0.31680282	1	1	0	0.003375548	0.013171219	0.001009108	0.024323118	0.012395872	0.000837997	0.027262596	0.003832042	0.000160617	0.039592538	0.047078726	0.037562747	0.040495745	0.758108098	0.036529459	0.010323219	0.035807301	0.05040215	0.495217018	0.02499997	0.053891111	0.047538601		0.05	6.253910628	0
CD86	1	0	0	0	1	0	1	1.02E-08	0	0	0.013918667	8.06E-06	0	0	1	0	1.32E-05	0	1	6.60E-07	1	0.004154517	6.77E-06	0	0.008085142	0	0	0.037169279	0	0.037918336	0.036931582	0.032235319	0.000000239	0	0.037628749	0.035538997	0.036403127	0.035268076	0.046603784	0.036449931		0.04	6.243609518	#N/A
DDX6	1	1.67E-10	0.553150673	0	1	6.22E-09	0	2.09E-11	1.78E-15	0.000404866	0.03209938	0.016956744	1	0	0.019080571	1.09E-13	0.313661116	1	4.98E-08	0.000427251	0.005597644	0.00012636	0.075128139	3.56E-16	0.028638773	1	0	0.08859776	0	0	0	0	0.000103381	0	0.020286156	0.025311259	0.01722542	0.008753094	0	0.0000385		1.03	6.179570129	0
SIPA1	6.14E-06	1	0.036515845	0.1181142	6.27E-13	0.0003586	0.918894314	0.001043719	0.002818726	0.011179887	0.011116156	0.011382438	0	1	0.009161476	0.002839757	0.027974188	1	2.04E-06	0.048416591	0.022716857	0.019702775	0.327266899	0.000244543	0.019125761	0	0.020109105	0.373111905	0.099024572	0.000000019	0.006098119	1.07E-09	0.000134573	0.010227804	0.032666049	1	0.030123974	0.053672524	0.001147712	0.109759824		2.00	6.130253057	0
KIAA1109	0.065106067	1.14E-06	1	0	6.88E-14	0.001046383	1.40E-05	7.08E-05	4.70E-07	1.59E-06	0.009526088	0.01202193	1	8.26E-08	1.19E-05	0.299360297	0.160992172	4.46E-05	8.63E-07	0.036053112	0	0.004187889	0.315216637	4.35E-05	0.005896995	1	5.85E-06	0.662162657	0.000780366	0.024331881	0.108279395	1	0.000758247	0.027436317	0.015444675	0.305599436	0.022213417	0.036384923	0.00000402	0.112909344		0.31	6.054395343	0
PPT2	6.49E-10	0.368483726	0.000325101	0.112061809	8.59E-09	0.324846009	3.36E-08	0.014069787	0.476868581	1	0.029927646	0.112480073	0	1	9.02E-05	0.494831989	0.01584014	0.580515041	0.001665636	0.058756353	0.000405772	0.023857632	0.441676352	0.147023424	0.026883202	0	0.252742575	0.149575115	0.028445282	0.0000302	0.0000186	0.044035364	0.025164962	0.033286046	0.013533321	0.206831971	0.030982432	0.031923765	0.018061049	0.011238183		0.79	5.984271922	0
HLA-DOB	1	0	0	0	1	0	1.84E-05	1.40E-05	0	0	0.199111051	0.002431774	0	0	1	0	0.001353601	0	1	0.000364279	1	0.011972131	0.000870818	4.62E-08	0.016488488	0	3.87E-12	0.037628749	0	0.040832938	0.046238986	0.043873143	0.270295971	0	0.023395665	0.066761623	0.038510266	0.031923765	0.033442621	0.035297031		0.07	5.761651643	0
ZBTB46	1	7.89E-11	0.00051536	0	1	0.029445515	0.637394445	0.006975627	3.14E-05	6.43E-05	0.020055132	0.01383141	0	0.67423921	1	0.004597042	0.018871026	0.00080685	0.286134967	0.051176666	0.303684529	0.02654217	0.037049013	0.00744638	0.029054762	0	0.320439634	0.065044842	1.06E-09	0.006116778	0.029081621	0.040080497	0.004432525	0	0.034048157	0.08520856	0.018995468	0.034127345	0.031052448	0.02206267		0.09	5.732368397	0
TNXB	0	1	3.01E-17	0	0	1	0	0.000639299	1.20E-10	0.605954277	0.016412141	0.42493623	0	1.63E-16	0	1	2.02E-05	0	1.22E-14	1	0	0.004564073	2.91E-05	2.98E-07	0.01762438	0	4.14E-06	0.0464133	0.03502588	0.335538064	0.00000431	0.000000271	0.032863291	0.036562199	0.003045762	0.039019858	0.034500319	0.036435124	0.02828248	1		0.04	5.598657123	0
RAD50	0.189057312	1	0.000157518	0.862084608	0.022009931	0.00054898	1.62E-07	0.004083648	0.071135828	0.250414075	0.034279568	0.02834716	2.31E-05	0	0.001652752	0.613178466	0.011868872	1	0.001257858	0.018074176	1.68E-08	0.01164673	0.130546971	0.001972909	0.041625371	0	1.12E-06	0.109875034	0.001343033	0.023107385	0.000467016	0.003755723	0.002773784	0.005730523	0.048363912	1	0.042238148	0.030860374	0.000407685	0.065724962		2.00	5.489383571	0
BACH2	0.000412077	9.87E-07	1	0.770208498	0.039007195	0.000290345	9.59E-11	0.003958362	0.034298669	0.000383863	0.030956424	0.05554005	1	0	0.001843983	0.006181911	0.57258591	0.003286899	0.001029694	0.058361376	0.057403974	0.026280001	0.051400943	8.28E-05	0.049431817	1	0	0.049394718	0.022110288	0.053491037	0.020511981	0.131516871	0.358323051	0.001311102	0.041201184	0.0000302	0.134130066	0.050923601	0.040956121	0.123749073		0.00	5.440836165	0
ZNF652	0.035541166	0.874124158	0.914644567	0	5.33E-05	7.79E-05	0.088954037	0.007978028	0.080583684	0.004346246	0.049092349	0.012872979	0.584488797	0.010415498	0.148742269	1	0.039249313	0.183199774	0.006818163	0.004622899	0.000218861	0.027360588	0.291093671	0.003143311	0.023629771	0	0.003756605	0.197436647	0.095984343	0.006196583	0.023096228	0.251859972	0.000115271	0.035816851	0.035807301	0.376330066	0.00439292	0.043947264	2.60E-11	0.026733654		0.56	5.417651173	0
SLC22A5	3.26E-09	0.016750151	0.000437429	1	8.90E-07	0.001589517	5.85E-07	0.010295703	0.002450161	0.00284538	0.024096942	0.020198641	9.86E-05	0	1.02E-05	0.408197392	0.00363246	1	0.000645083	0.008886631	8.07E-08	0.021939804	0.018698537	0.000111924	0.017609769	0	6.86E-08	0.097457868	0.224355245	0.064288073	0.080210382	1	0.045410066	0.125730296	0.034048157	1	0.039456144	0.052326106	0.014844849	0.078536716		2.00	5.229996083	0
PRPF3	4.57E-15	1	2.63E-08	5.20E-15	2.41E-17	0.302422688	6.14E-15	1.77E-05	1.42E-06	1	0.041652876	0.043601265	0	1	0	0.427723769	0.044013826	0.057644463	0.000292265	0.085031745	0.338846956	0.010526282	0.020857912	0.002100323	0.048596208	0.00247372	0.317672876	0.036550333	0.0000171	0	4.82E-17	7.53E-13	0.35324717	0.002778813	0.033432509	0.000396581	0.055579481	0.037270407	0.022266295	0.003644384		0.06	5.169898844	0
SLC2A4RG	1.51E-16	4.59E-06	2.06E-05	1	1.98E-13	0.000637163	0.029416924	0.004843767	5.43E-07	2.44E-08	0.017288455	0.030134506	0.054793366	0	1.91E-07	1	0.001670211	1	1.60E-05	0.028917181	0.002966826	0.010797907	0.020292873	0.001844348	0.012381234	0	0.000626461	0.145658262	0.121862441	0.273196211	0.291223647	1	0.02324886	0.052600022	0.018521352	0.018722279	0.0198083	0.030715302	0.000000914	0.103020419		1.02	5.16168632	0
STMN3	0	1	0.110982199	0	0	5.73E-13	0	0.001978672	0.000282436	0.485431883	0.065641283	0.125610613	1	0	0	1	0.001471854	0	1.51E-13	0.000159971	0	0.004878587	0.051560865	0.049770102	0.008986832	0.219059905	1.51E-08	0.138709284	0.02585585	0.551282438	0.001874589	0.0000106	0.012056272	0.038693629	0.00485296	0.01015189	0.001616152	0.020764987	0	0.046092576		0.01	4.909302729	0
UCKL1	1.03E-08	0.07619975	1.68E-15	1	1.58E-06	0.105702487	0	2.13E-07	3.48E-09	0.000803299	0.008629856	0.00677406	0	1	1.86E-08	0.129597316	0.000987365	1	1.59E-06	0.254886043	4.58E-16	0.002246961	0.04186666	3.78E-05	0.021388948	0	0.011639449	0.132045676	0.00000408	0	0.001240581	0.000860586	0.000539578	0.00000798	0.033820425	1	0.019278046	0.033389222	1.25E-12	0.094822311		2.00	4.829282297	0
CIART	0	1	1.15E-14	1	0	2.28E-05	0	0.000767244	0.016118652	1.37E-05	0.012741525	0.030556598	0	2.98E-11	3.14E-08	1	0.004496361	1	0.000170264	0.007416028	3.05E-08	0.012167635	0.123744987	0.001267671	0.042723584	0	0.000260296	0.110960859	0.11847272	0.017908824	0.056120266	0.011713487	0.021910736	0.09916417	0.042708529	0.088815885	0.05594973	0.036435124	0.018031064	0.034732841		1.09	4.820242892	0
CSF2	0.0012385	0.000392651	1	0	0.004279274	0.077669554	0.007205602	0.091955872	0.007740473	0.005762148	0.039853164	0.026195978	1	0.000105143	0.002261531	8.94E-05	0.837409528	0	0.006643331	0.112359077	0.005006873	0.040658962	0.015674213	0.001394737	0.028891788	1	0.003605288	0.040554793	0.055382349	0.070018928	0.036931582	0.051495639	0.040808236	0.038874612	0.037628749	0.039624169	0.43159286	0.030882736	0.161494077	0.109233718		0.04	4.727712105	0
D2HGDH	3.86E-05	2.68E-14	1	1	0	7.69E-14	0.653335109	0.002564307	2.51E-14	5.11E-08	0.010374822	0.001065627	0.462707237	0	0.014835399	0.002177358	0.029852737	1	6.41E-05	0.003690771	0.250984956	0.014982199	0.009943745	9.31E-06	0.012911351	0.075568169	0	0.075787129	0.000697939	0.014023189	0.002460384	0.007137688	0.000156537	0.003355418	0.029134875	1.69E-15	0.000228214	0.023091889	3.22E-11	0.035259477		1.00	4.677859043	#N/A
KIF3A	3.20E-13	0.001192781	0.010911842	5.72E-09	3.34E-13	0.00016544	0	0.002932248	1	0.079211379	0.054902499	0.029685344	1	0.240974712	2.82E-06	0.198098904	0.021199211	0.03339625	0.000321902	0.022175023	0	0.031103476	1	0.007025502	0.019479697	0.706640663	0.004095363	0.000454232	0.001645129	0.000000325	0.000136932	0.034018425	0.006060446	0.007517213	0.017429463	0.003600256	0.011255246	0.046185508	6.03E-18	0.028278313		0.04	4.534377487	0
MICB	0.40856891	0.339856752	0.050670532	0	0.335626421	0.007063939	0.138266827	0.010978426	2.43E-06	0.030746797	0.023134073	0.034219507	1	0.062142154	0.607680359	0.15567317	0.070092138	0	0.228065105	0.024166889	0.203980862	0.026092838	0.0272476	0.000981676	0.019954053	0.112237658	0.046669056	0.115236978	0.171661562	0.033069726	0.004110776	0.015630169	0.093998887	0.084875164	0.022098776	0.003785111	0.061650535	0.039935983	0.00000298	0.040483098		0.00	4.508585317	0
FKBPL	4.23E-05	0.005540326	0.000133695	0.002144919	2.83E-08	0.172723443	7.41E-07	0.006121937	0.001430875	0.525548622	0.027851626	0.128049749	0	1	8.74E-05	0.026011461	0.008159891	1	0.005454041	0.04578106	1.90E-05	0.020250785	0.035867518	0.052249061	0.027627055	0	0.094421032	0.061589588	0.003924238	4.82E-17	0.000229455	0.027746808	0.004207655	0.051846623	0.013023793	1	0.020828392	0.035108754	0.008450086	0.014694954		2.00	4.348084754	0
NCR3	4.66E-07	3.86E-07	1	0	4.39E-05	0.000497182	2.82E-06	0.013224246	0.005118771	0.000503006	0.034402816	0.025006182	1	4.21E-10	0.008772738	3.96E-06	0.644308566	0	0.014818799	0.009405117	0.0020607	0.024731826	0.01448454	0.00062153	0.027595333	1	0.000255266	0.032492635	0.139966036	0.040268651	0.036931582	0.035811774	0.0583915	0.076501414	0.034048157	0.033463536	0.058379285	0.037628749	0.00000245	0.037628749		0.03	4.313733408	0
HELZ2	0.004604445	1	0.012493963	0	0.088223742	0.000536785	0.458295349	6.51E-05	7.84E-17	0.012472825	0.028252629	0.07919413	0	0.201330838	0.022641825	0.754303905	0.00898196	0.771203414	0.010824044	0.031977821	0.244665376	0.014747853	0.026046768	0.008486875	0.026227833	0	0.053215783	0.096480827	7.28E-08	6.27E-10	0.00000663	0	0.00000153	0.00000008	0.008739908	0.314714079	0.00057323	0.030860374	4.22E-17	0.006427659		1.09	4.278736346	0
SLC22A4	2.87E-05	1	0.001026239	0	3.69E-05	0.242775627	0.081257195	0.017721336	0.005792143	0.00750193	0.028359738	0.036280336	9.08E-08	1	0.015811492	0.596710861	0.020993178	0.000677433	0.007100573	0.12391146	0.030461614	0.028720539	0.022209108	0.041799808	0.040797995	0	0.57649484	0.03642529	0.081384767	0.002896535	0.06884638	0.000284243	0.013502973	0.037092814	0.039730827	0.045289905	0.037760904	0.036435124	0.029141811	0.047075527		0.05	4.251922908	0
AP5B1	0.000677308	1	0.001112526	4.50E-08	0.000392087	0.000403562	1	0.009795401	0.028870321	0.537416087	0.033102326	0.058149309	0	0.00053632	0.036312087	0.033319668	0.016972264	0.529932935	0.032601538	0.041905452	0.185307046	0.026547538	0.1956533	0.013195257	0.038733474	0	0.025311743	0.111751439	0.010656233	0.004379731	0.0000002	0	0.000077	0.018532976	0.025086386	0.187114648	0.014733593	0.030860374	0.002581801	0.046238598		0.72	4.203846207	0
PRR5L	1.49E-05	0.012742205	0.985039532	0	1.46E-05	0.043260112	1.69E-05	0.017993131	0.001793537	0.002490575	0.03531631	0.038672595	1	1	0.004029357	0.202240431	0.128828401	0	0.009056008	0.161065123	0.006256321	0.027434007	0.021606724	0.010316107	0.028921928	0.068358559	0.061526676	0.040070058	0.031662364	0.0000706	0.032827959	0.078937149	0.035337951	0.03629888	0.029134875	0.038019252	0.01978974	0.035268076	3.54E-11	0.107953683		0.04	4.189353064	0
CCHCR1	0.161600914	0.010946904	0.000212433	1	2.15E-05	0.009412313	0.001633088	0.00718011	1	0.07602238	0.022052856	0.040875266	0	0.076383777	0.005854054	0.285891569	0.022115788	0.696896027	0.007473913	0.054115941	0.003539189	0.026790326	0.309408901	0.030278053	0.024599291	0	0.041064043	0.021226289	0.00000758	0.001281148	0.001993554	0.046500072	0.001520193	0.010185098	0.01966276	0.006108803	0.026689607	0.035157722	0.000104059	0.036575676		0.70	4.022854167	0
RPRD2	0.007503011	1	0.217910654	0	4.05E-10	0.060342273	1.19E-05	0.000958567	0.007848288	0.139487702	0.017942372	0.048815185	1	5.13E-05	0.00685333	0.467295439	0.010408868	0.274484795	0.000793344	0.073497532	0	0.039923717	0.142736917	0.02011212	0.053683099	0.019926785	0.001642166	0.109730549	0.000736061	0.000734483	0.000379326	3.70E-15	0.000307788	0.009772251	0.039549614	0.21671576	0.00138169	0.070368431	5.49E-13	0.02727714		0.49	3.990155157	0
ALPK2	1	7.58E-14	1.38E-07	0	1	2.95E-06	0.198291053	0.005662008	2.31E-05	2.58E-06	0.021187787	0.011153862	0	0	0.749459484	0.185840363	0.02288251	0.000779248	0.104174687	0.020575716	0.036311861	0.030214202	0.022317535	0.008186065	0.031659378	0	0.005617923	0.037628749	0	0.037243152	0.037628749	0.240865884	0.0000491	0	0.037628749	0.03473771	0.037628749	0.037628749	0.034399476	0.037628749		0.04	3.880124531	Y
SKIV2L	0.495404471	1	0.044338209	0	0.043436852	0.002829142	0.397574231	0.00371501	0.000220608	0.021298994	0.029898008	0.017377603	0.024206288	0.52983252	0.082382185	0.281915518	0.020511629	0.199665225	0.034504653	0.023752245	0.032801861	0.024992266	0.052109435	0.006247222	0.026471844	0	0.030334479	0.079106757	0.000157981	0.0000371	0.002900972	0.00000847	0.00010784	0.006765901	0.030743275	0.280242873	0.009660359	0.04004312	0.000000485	0.024979904		0.48	3.825891667	0
ST3GAL3	0.031947878	1	0.004211595	0	0.000517764	0.169737635	0.000718843	0.084873496	0.137300408	0.046661896	0.030410357	0.033495139	0.000152929	0.314131863	0.007365426	1	0.016491583	0.00084653	0.013237409	0.057248709	0.00119726	0.022262364	0.139783678	0.061073256	0.073717829	0	0.091669308	0.078457483	0.009689834	0.023084142	0.043586891	0.080943147	0.013450551	0.043240478	0.071334906	0.012917323	0.027676992	0.015113852	0.006451015	0.02562653		0.01	3.71575791	0
SCAF8	0.123818656	0.587545466	1.21E-07	1	0.111954302	5.75E-06	4.00E-05	0.000251359	3.32E-05	2.37E-06	0.010176588	0.00673819	0	0.004353801	0.008528472	0.427587847	0.064953969	0.805349399	0.000819058	0.120674759	0.002851346	0.010123318	0.010498206	0.000128912	0.032453382	0	0.158098547	0.031954178	0.0000725	0.064134455	0.020755508	0.001917165	0.007374789	0.0000136	0.047949887	0.000563253	0.118569132	0.034007528	0.007616103	0.195294649		0.81	3.661722431	Y
CHAC1	3.71E-05	0.000168286	0.000382346	9.56E-08	0.003808209	0.038659713	2.01E-05	0.02225539	0.001618079	0.000814937	0.110161321	0.017395961	0	1	0.022719117	0.00035491	0.044731914	0.372531277	0.025784735	0.034709521	0.015082106	0.035019693	0.046068634	0	0.025464683	0.004242195	0.52452944	0.098977088	0.156583084	1.31E-11	0.037592427	0.06130707	0.124705359	0.0664677	0.037628749	0.725341022	0.093010243	0.045100523	0.397480086	0.040621492		1.10	3.655162333	0
C2	1.62E-07	1	5.11E-05	0	3.26E-07	0.000197593	0.988279224	0.010588811	0.00056691	0.000893879	0.025135753	0.220770421	1.30E-15	2.21E-12	1.70E-06	1	0.00616973	1.12E-10	0.000353827	0.00604413	0.001785193	0.019612519	0.011486788	0.000904593	0.031796802	0	2.57E-06	0.055695819	0.032093787	0.038998112	0.063663843	0.000089	0.0000238	0.042090405	0.011478646	0.025468821	0.035681227	0.037628749	0.034568576	0.046608529		0.03	3.594244279	0
IL18RAP	0.015051271	1.69E-05	1	0	0.001658424	0.001473196	0.002335845	0.019739206	0.002440847	0.001415101	0.028386234	0.021238129	0.440338034	1.12E-07	0.02534327	0.00047114	0.739180009	0	0.013577782	0.017884701	0.022169279	0.036556196	0.019878353	0.00619652	0.0311374	0.830257003	0.004581763	0.037628749	0.02153378	0.040979623	0.038942668	0.03113684	0.03720729	0.026021311	0.037628749	0.039667291	1.86E-09	0.042604154	0.080183777	0.036839978		0.04	3.592072977	0
CRCT1	6.02E-05	0.000362276	0.001146531	1	0.000487681	0.002463112	0.000101935	0.018050348	0.031379798	0.003442002	0.029464802	0.022970277	1.42E-05	0	0.001816635	0.000304071	0.018335144	1	0.006308391	0.017702479	0.002547587	0.027320692	0.030562377	0.005171596	0.02967615	0	0.002934451	0.03630432	0.04717344	0.056103108	0.046119525	0.030981705	0.041317047	0.035714434	0.037628749	1	0.040821873	0.037628749	0.014315179	0.04513624		2.00	3.583965079	0
NOTCH4	2.97E-12	3.33E-09	6.46E-07	0	7.22E-10	0.0029132	5.35E-08	0.005918518	0.063832352	0.070839444	0.020698008	0.074645007	0	1	0.002840492	0.239504199	0.014441646	2.26E-05	0.005218114	0.068463868	0.002138765	0.025032173	0.205282151	0.037486871	0.037198353	0	1	0.110123437	0.058542972	6.03E-18	0.004346439	0.347416515	0.018716922	0.036319949	0.022267004	0.026835406	0.035084907	0.036435124	0.033102765	0.066592003		0.03	3.501045067	0
C11orf80	0.005341563	0	2.09E-07	1	0.244413287	5.93E-11	0	0.001419176	1.68E-07	1.56E-12	0.054422713	0.016492615	7.23E-17	0	0.005364666	1.97E-07	0.005346211	1	0.016027035	0.005545391	1.40E-07	0.012258683	0.010235195	1.67E-07	0.01676129	0	3.20E-05	0.055507945	0.002149003	0.018102365	0.041975049	0.26659691	0.009141544	0.000420428	0.022098776	0.685282474	0.020774875	0.029822216	0.0000286	0.063429235		1.69	3.494935164	Y
CNTNAP1	0.016723738	0.237875264	0.018479204	0	0.012280784	0.048256972	0.014660266	0.030955469	0.03158688	0.171303568	0.064312285	0.055912848	0.065203712	0.030335209	0.002858422	1	0.01958288	0	0.008939845	0.081332657	0.004346034	0.028840781	0.046168861	0.290909604	0.030749785	0.002093611	0.00736926	0.066390151	0.035998978	0.041304532	0.140870108	0.630581913	0.0360228	0.039650548	0.029134875	0.043620729	0.036646	0.036435124	0.047082336	0.09913821		0.04	3.384652573	0
TCHH	0.05964519	2.02E-07	2.80E-05	0.070648953	1	1	0.125251226	0.010588811	0.000886259	0.000158042	0.025135753	0.029180629	0	1.20E-10	0.040278649	0.190090474	0.025282381	0.016066649	0.266648431	0.047984325	0.024920657	0.030389901	0.03319442	0.017785575	0.031357035	0	0.017331352	0.042195517	0.001184074	0.033221821	0.041775401	0.160157477	0.000381933	1.06E-11	0.030712933	0.0000121	0.037628749	0.037628749	0.032280554	1.37E-11		0.02	3.372494189	0
PRRT1	0.002446426	0.305977299	0.012526351	0	0.003098341	0.026083539	0.004065115	0.023513078	0.018716703	1	0.028866431	0.039943494	0.001488449	0.065150106	0.00754309	0.391724954	0.025572262	0.003241024	0.015327277	0.020764988	0.00854131	0.038159352	0.022556744	0.662018588	0.032251047	0	0.078752487	0.03449401	0.042136954	0.089323428	0.014894996	0.126337994	0.03692073	0.043209611	0.03235036	0.03381399	0.038510266	0.045260694	0.029029707	0.030252033		0.04	3.291810528	0
TARS2	0.611007462	0.993096845	0.013383217	0	0.274248779	0.012864206	0.063537378	0.024022296	0.015628828	0.005731112	0.020565305	0.026404843	0.004064467	0.181774773	0.025208189	0.075358474	0.028345044	0.215591619	0.034374183	0.056786498	0.004011487	0.02094018	0.144349785	0.006851296	0.023773314	0	0.028008171	0.109329152	0.00000497	0.000561412	0.011789335	0.000000138	0.000432127	0.001249635	0.027615168	0.189333323	0.022732748	0.024107195	0.000255709	0.042996621		0.40	3.250243011	0
TDRD10	0.001756968	0.156224318	0.007036179	0	0.0036849	0.489727101	0.116155063	0.026822411	0.01179309	0.008296161	0.032435384	0.031908188	5.40E-05	1	0.012588151	0.155903872	0.025404841	0.004224374	0.017981674	0.212972561	0.020273983	0.030559851	0.024991164	0.01398286	0.031536737	0	0.408810916	0.036713716	0.039447507	0.010876148	0.038536691	0.031233291	0.007179774	0.035307122	0.035807301	0.037140975	0.036646	0.036435124	0.037395099	0.059127536		0.04	3.1173673	0
